JOURNAL,2012,2013,2014,2015,2016,2017,2018,2019
ACTA CHIROPTEROLOGICA,0,0,0,0,0,0,1,0
ACTA ICHTHYOLOGICA ET PISCATORIA,0,0,0,1,0,0,0,0
ACTA SOCIETATIS BOTANICORUM POLONIAE,0,0,0,0,0,1,0,0
ADDICTION,0,1,0,0,0,0,0,0
ADDICTIVE BEHAVIORS,0,0,0,0,0,1,0,0
AFRICAN JOURNAL OF ECOLOGY,0,0,0,0,0,0,1,0
AFRICAN JOURNAL OF MARINE SCIENCE,0,1,1,1,0,0,0,0
AGRICULTURAL AND FOREST ENTOMOLOGY,0,0,0,0,0,1,0,0
AGRICULTURAL AND FOREST METEOROLOGY,0,0,0,0,0,0,1,0
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0,0,0,0,2,2,1,0
AGROFORESTRY SYSTEMS,0,0,0,1,0,0,0,0
AIDS,0,0,0,0,0,1,0,0
ALPHA-REVISTA DE ARTES LETRAS Y FILOSOFIA,0,0,0,0,0,0,1,0
AMERICAN JOURNAL OF BOTANY,0,0,0,0,1,1,1,1
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0,0,0,1,0,0,2,0
AMERICAN JOURNAL OF PRIMATOLOGY,0,0,0,1,0,0,1,0
AMERICAN JOURNAL OF TRANSPLANTATION,0,0,0,1,0,0,0,0
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,0,0,0,0,0,0,1,0
AMERICAN NATURALIST,0,0,0,1,1,0,0,0
ANIMAL BEHAVIOUR,0,0,1,1,5,4,0,0
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,0,0,0,1,1,0,0,0
ANNALS OF APPLIED STATISTICS,0,0,0,0,0,1,0,0
ANNALS OF BOTANY,0,0,0,0,0,1,2,0
ANNALS OF FOREST SCIENCE,0,0,0,2,0,0,0,0
ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION VOL 5,0,0,0,0,0,0,1,0
AOB PLANTS,0,0,0,1,0,0,0,0
APPLIED ANIMAL BEHAVIOUR SCIENCE,0,0,0,0,0,0,1,0
APPLIED SOIL ECOLOGY,0,0,0,0,1,0,0,0
APPLIED VEGETATION SCIENCE,0,0,0,0,1,0,0,0
AQUACULTURE,0,0,0,0,1,0,1,0
AQUACULTURE ECONOMICS & MANAGEMENT,0,0,1,0,0,0,0,0
AQUATIC BOTANY,0,0,0,0,0,0,1,0
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,0,0,0,0,1,0,0,0
AQUATIC LIVING RESOURCES,0,0,0,0,1,0,0,0
AQUATIC MAMMALS,0,0,0,1,0,0,0,0
AQUATIC TOXICOLOGY,0,0,0,0,0,1,0,0
ARCTIC ANTARCTIC AND ALPINE RESEARCH,0,0,0,0,0,0,1,0
ARDEOLA,0,0,0,0,0,1,0,0
ARTHROPOD-PLANT INTERACTIONS,0,0,0,1,0,1,3,0
ARTIFICIAL ORGANS,0,0,0,0,1,0,0,0
ASTA-ADVANCES IN STATISTICAL ANALYSIS,0,0,0,0,0,1,0,0
ASTROPHYSICAL JOURNAL,0,0,0,0,1,0,0,0
AUSTRAL ECOLOGY,0,0,0,0,0,1,1,0
AUSTRALIAN JOURNAL OF BOTANY,0,0,0,0,0,0,1,0
AVIAN CONSERVATION AND ECOLOGY,0,0,0,0,0,0,1,0
BASIC AND APPLIED ECOLOGY,0,0,0,0,1,0,1,0
BEHAVIOR GENETICS,0,0,0,0,0,1,0,0
BEHAVIORAL ECOLOGY,0,0,1,5,0,2,0,0
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0,0,1,2,1,1,6,0
BEHAVIOURAL PROCESSES,0,0,0,0,1,1,0,0
BIOCONTROL,0,0,0,0,1,1,0,0
BIODIVERSITY AND CONSERVATION,0,1,1,0,0,2,3,0
BIOLOGICAL CONSERVATION,0,0,0,2,2,4,2,0
BIOLOGICAL CONTROL,0,0,0,0,0,1,0,0
BIOLOGICAL INVASIONS,0,0,0,1,1,2,1,1
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0,0,1,0,0,0,1,0
BIOLOGY LETTERS,0,0,1,1,1,0,0,0
BIOMETRICAL JOURNAL,0,0,0,0,1,0,0,0
BIOMETRICS,0,1,1,0,0,0,0,0
BIOSTATISTICS,0,1,1,0,0,0,0,0
BIOTROPICA,0,0,0,0,0,2,0,0
BIRD CONSERVATION INTERNATIONAL,0,0,0,1,0,0,0,0
BIRD STUDY,0,0,0,0,0,2,2,0
BMC ECOLOGY,0,0,0,0,0,1,0,0
BMC EVOLUTIONARY BIOLOGY,0,0,0,1,0,0,0,0
BMC FAMILY PRACTICE,0,0,0,0,0,0,1,0
BMC MEDICAL RESEARCH METHODOLOGY,0,0,0,0,1,0,0,0
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0,0,0,0,1,1,0,0
BOTANICAL SCIENCES,0,0,0,0,1,0,0,0
BRAZILIAN JOURNAL OF BIOLOGY,0,0,0,0,1,0,0,0
BULLETIN OF ENTOMOLOGICAL RESEARCH,0,0,1,0,0,0,0,0
BULLETIN OF MARINE SCIENCE,0,0,0,0,0,0,2,0
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,0,0,0,0,0,1,0,0
CANADIAN ENTOMOLOGIST,0,0,0,0,0,1,0,0
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2,3,1,5,6,7,6,2
CANADIAN JOURNAL OF FOREST RESEARCH,0,0,0,0,0,0,0,1
CANADIAN JOURNAL OF LINGUISTICS-REVUE CANADIENNE DE LINGUISTIQUE,0,0,0,0,0,0,1,0
CANADIAN JOURNAL OF ZOOLOGY,0,0,1,0,3,1,0,0
