JOURNAL,2012,2013,2014,2015,2016,2017
ACTA ICHTHYOLOGICA ET PISCATORIA,0,0,0,1,0,0
ADDICTION,0,1,0,0,0,0
ADDICTIVE BEHAVIORS,0,0,0,0,0,1
AFRICAN JOURNAL OF MARINE SCIENCE,0,1,1,1,0,0
AGRICULTURAL AND FOREST ENTOMOLOGY,0,0,0,0,0,1
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0,0,0,0,2,2
AGROFORESTRY SYSTEMS,0,0,0,1,0,0
AIDS,0,0,0,0,0,1
AMERICAN JOURNAL OF BOTANY,0,0,0,0,1,1
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0,0,0,1,0,0
AMERICAN JOURNAL OF PRIMATOLOGY,0,0,0,1,0,0
AMERICAN NATURALIST,0,0,0,1,1,0
ANIMAL BEHAVIOUR,0,0,1,1,5,4
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,0,0,0,1,1,0
ANNALS OF BOTANY,0,0,0,0,0,1
ANNALS OF FOREST SCIENCE,0,0,0,2,0,0
AOB PLANTS,0,0,0,1,0,0
APPLIED SOIL ECOLOGY,0,0,0,0,1,0
APPLIED VEGETATION SCIENCE,0,0,0,0,1,0
AQUACULTURE,0,0,0,0,1,0
AQUACULTURE ECONOMICS & MANAGEMENT,0,0,1,0,0,0
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,0,0,0,0,1,0
AQUATIC LIVING RESOURCES,0,0,0,0,1,0
AQUATIC MAMMALS,0,0,0,1,0,0
AQUATIC TOXICOLOGY,0,0,0,0,0,1
ARDEOLA,0,0,0,0,0,1
ARTHROPOD-PLANT INTERACTIONS,0,0,0,1,0,1
ARTIFICIAL ORGANS,0,0,0,0,1,0
ASTA-ADVANCES IN STATISTICAL ANALYSIS,0,0,0,0,0,1
ASTROPHYSICAL JOURNAL,0,0,0,0,1,0
AUSTRAL ECOLOGY,0,0,0,0,0,1
BASIC AND APPLIED ECOLOGY,0,0,0,0,1,0
BEHAVIOR GENETICS,0,0,0,0,0,1
BEHAVIORAL ECOLOGY,0,0,1,5,0,2
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0,0,1,2,1,1
BEHAVIOURAL PROCESSES,0,0,0,0,1,1
BIOCONTROL,0,0,0,0,1,1
BIODIVERSITY AND CONSERVATION,0,1,1,0,0,2
BIOLOGICAL CONSERVATION,0,0,0,2,2,4
BIOLOGICAL CONTROL,0,0,0,0,0,1
BIOLOGICAL INVASIONS,0,0,0,1,1,2
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0,0,1,0,0,0
BIOLOGY LETTERS,0,0,1,1,1,0
BIOMETRICAL JOURNAL,0,0,0,0,1,0
BIOMETRICS,0,1,1,0,0,0
BIOSTATISTICS,0,1,1,0,0,0
BIOTROPICA,0,0,0,0,0,2
BIRD CONSERVATION INTERNATIONAL,0,0,0,1,0,0
BIRD STUDY,0,0,0,0,0,1
BMC ECOLOGY,0,0,0,0,0,1
BMC EVOLUTIONARY BIOLOGY,0,0,0,1,0,0
BMC MEDICAL RESEARCH METHODOLOGY,0,0,0,0,1,0
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0,0,0,0,1,1
BOTANICAL SCIENCES,0,0,0,0,1,0
BRAZILIAN JOURNAL OF BIOLOGY,0,0,0,0,1,0
BULLETIN OF ENTOMOLOGICAL RESEARCH,0,0,1,0,0,0
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,0,0,0,0,0,1
CANADIAN ENTOMOLOGIST,0,0,0,0,0,1
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2,3,1,5,4,7
CANADIAN JOURNAL OF ZOOLOGY,0,0,1,0,3,1
CCAMLR SCIENCE,0,0,1,0,0,0
CELL,0,0,0,0,1,0
CHEMOSPHERE,0,0,0,0,0,1
CHILD DEVELOPMENT,0,0,0,0,1,0
CLINICAL SCIENCE,0,0,0,1,0,0
CORAL REEFS,0,0,0,0,0,1
CRIMINAL JUSTICE AND BEHAVIOR,0,0,1,0,0,0
CURRENT BIOLOGY,0,0,0,0,1,1
CURRENT ZOOLOGY,0,0,0,0,0,1
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,0,0,0,0,1,0
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,0,0,1,0,3,2
DIVERSITY AND DISTRIBUTIONS,0,0,1,1,0,0
ECOGRAPHY,0,0,0,1,0,2
ECOLOGICAL APPLICATIONS,0,1,0,2,1,2
ECOLOGICAL ENGINEERING,0,0,0,0,0,1
ECOLOGICAL ENTOMOLOGY,0,0,0,0,1,1
ECOLOGICAL INDICATORS,0,0,0,0,0,1
ECOLOGICAL MODELLING,0,0,1,0,1,0
ECOLOGICAL MONOGRAPHS,0,0,1,0,0,0
ECOLOGICAL RESEARCH,0,0,0,0,1,0
ECOLOGY,0,0,1,2,2,5
ECOLOGY AND EVOLUTION,0,1,1,1,2,4
ECOLOGY LETTERS,0,1,1,0,1,0
ECOSPHERE,0,0,0,3,3,3
ECOSYSTEMS,0,0,1,0,0,0
ELIFE,0,0,0,0,1,0
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,0,1,0,1,1,1
ENVIRONMENTAL BIOLOGY OF FISHES,0,0,0,1,0,0
ENVIRONMENTAL CONSERVATION,0,1,0,0,0,0
ENVIRONMENTAL DEVELOPMENT,0,0,0,0,1,0
ENVIRONMENTAL ENTOMOLOGY,0,0,0,0,1,0
ENVIRONMENTAL MANAGEMENT,0,0,1,0,1,0
ENVIRONMENTAL RESEARCH LETTERS,0,0,0,0,1,0
ENVIRONMENTAL SCIENCE & TECHNOLOGY,0,0,0,1,0,0
EPIDEMICS,0,0,1,0,0,0
ESEC/FSE 2017: PROCEEDINGS OF THE 2017 11TH JOINT MEETING ON FOUNDATIONS OF SOFTWARE ENGINEERING,0,0,0,0,0,1
ETHOLOGY,0,0,0,1,2,1
EUROPEAN JOURNAL OF SOIL BIOLOGY,0,0,0,0,0,1
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,0,0,0,0,0,2
EVOLUTION,0,0,0,0,1,0
EVOLUTIONARY ECOLOGY,0,0,1,0,0,0
FIRE ECOLOGY,0,0,0,0,0,1
FISH AND FISHERIES,0,1,0,0,0,1
FISHERIES MANAGEMENT AND ECOLOGY,0,0,1,0,1,0
FISHERIES OCEANOGRAPHY,0,0,2,1,0,1
FISHERIES RESEARCH,4,7,10,10,13,13
FISHERIES SCIENCE,0,0,0,0,0,1
FISHERY BULLETIN,0,0,0,0,1,2
FOREST ECOLOGY AND MANAGEMENT,0,1,0,3,2,2
FOREST SCIENCE,0,0,1,0,0,0
FORESTRY,0,0,0,0,0,1
FRESHWATER BIOLOGY,0,0,0,1,1,0
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,0,0,0,0,1,0
FRONTIERS IN GENETICS,0,0,1,0,0,0
FRONTIERS IN MICROBIOLOGY,0,0,0,1,0,0
FRONTIERS IN NEUROSCIENCE,0,0,0,0,0,1
FRONTIERS IN PLANT SCIENCE,0,0,0,0,0,1
FRONTIERS IN ZOOLOGY,0,0,0,1,1,0
FUNGAL ECOLOGY,0,0,0,0,1,0
GENETICS SELECTION EVOLUTION,0,0,0,1,0,0
GLOBAL CHANGE BIOLOGY,0,0,0,2,2,2
GLOBAL CHANGE BIOLOGY BIOENERGY,0,0,0,1,0,0
GLOBAL ECOLOGY AND BIOGEOGRAPHY,0,0,0,0,1,0
GLOBAL ECOLOGY AND CONSERVATION,0,0,0,0,1,0
GRASS AND FORAGE SCIENCE,0,0,0,0,1,1
HEALTH & PLACE,0,0,1,0,0,0
HEREDITY,0,0,0,0,2,0
HERPETOLOGICA,0,0,0,0,0,1
HERPETOLOGICAL CONSERVATION AND BIOLOGY,0,0,0,0,1,0
HORMONES AND BEHAVIOR,0,0,0,0,1,0
HYDROBIOLOGIA,0,0,0,2,0,2
IBIS,0,0,0,1,0,0
ICES JOURNAL OF MARINE SCIENCE,1,1,5,13,4,4
IFOREST-BIOGEOSCIENCES AND FORESTRY,0,0,0,0,1,0
INTERNATIONAL JOURNAL OF PRIMATOLOGY,0,0,0,0,0,1
INTERNATIONAL JOURNAL OF SPELEOLOGY,0,0,1,0,0,0
INTERNATIONAL JOURNAL OF WILDLAND FIRE,0,0,0,0,0,1
JOURNAL OF AFFECTIVE DISORDERS,0,0,0,0,1,0
JOURNAL OF ANIMAL ECOLOGY,0,1,0,1,0,0
JOURNAL OF APPLIED ECOLOGY,1,0,0,1,0,1
JOURNAL OF APPLIED MICROBIOLOGY,0,0,0,0,0,1
JOURNAL OF APPLIED STATISTICS,0,0,0,0,0,1
JOURNAL OF AVIAN BIOLOGY,0,1,0,1,0,0
JOURNAL OF CHEMICAL ECOLOGY,0,0,1,0,1,0
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,0,0,0,0,1,0
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,0,0,0,0,0,1
