#For:  AD Model Builder: using automatic differentiation for statistical inference of highly parameterized complex nonlinear models ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
#Timespan=All years. Indexes=SCI-EXPANDED, ESCI, A&HCI, SSCI.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
#||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Title|Authors|Corporate Authors|Editors|Book Editors|Source Title|Publication Date|Publication Year|Volume|Issue|Part Number|Supplement|Special Issue|Beginning Page|Ending Page|Article Number|DOI|Conference Title|Conference Date|Total Citations|Average per Year|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019
Using observation-level random effects to model overdispersion in count data in ecology and evolution|Harrison, Xavier A.||||PEERJ|OCT 9 2014|2014|2|||||||e616|10.7717/peerj.616|||233|38.83|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|19|44|68|94|8
A review of integrated analysis in fisheries stock assessment|Maunder, Mark N.; Punt, Andre E.||||FISHERIES RESEARCH|MAY 2013|2013|142||||SI|61|74||10.1016/j.fishres.2012.07.025|||141|20.14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|20|24|36|31|23|3
TMB: Automatic Differentiation and Laplace Approximation|Kristensen, Kasper; Nielsen, Anders; Berg, Casper W.; Skaug, Hans; Bell, Bradley M.||||JOURNAL OF STATISTICAL SOFTWARE|APR 2016|2016|70|5||||1|21|||||105|26.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|41|44|13
Distance, flow and PCR inhibition: eDNA dynamics in two headwater streams|Jane, Stephen F.; Wilcox, Taylor M.; McKelvey, Kevin S.; Young, Michael K.; Schwartz, Michael K.; Lowe, Winsor H.; Letcher, Benjamin H.; Whiteley, Andrew R.||||MOLECULAR ECOLOGY RESOURCES|JAN 2015|2015|15|1||||216|227||10.1111/1755-0998.12285|||104|20.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|22|27|37|11
Eco-Label Conveys Reliable Information on Fish Stock Health to Seafood Consumers|Gutierrez, Nicolas L.; Valencia, Sarah R.; Branch, Trevor A.; Agnew, David J.; Baum, Julia K.; Bianchi, Patricia L.; Cornejo-Donoso, Jorge; Costello, Christopher; Defeo, Omar; Essington, Timothy E.; Hilborn, Ray; Hoggarth, Daniel D.; Larsen, Ashley E.; Ninnes, Chris; Sainsbury, Keith; Selden, Rebecca L.; Sistla, Seeta; Smith, Anthony D. M.; Stern-Pirlot, Amanda; Teck, Sarah J.; Thorson, James T.; Williams, Nicholas E.||||PLOS ONE|AUG 21 2012|2012|7|8||||||e43765|10.1371/journal.pone.0043765|||66|8.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|14|8|16|11|11|2
Semantic Preview Benefit During Reading|Hohenstein, Sven; Kliegl, Reinhold||||JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION|JAN 2014|2014|40|1||||166|190||10.1037/a0033670|||61|10.17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|12|17|15|12|1
Estimation of time-varying selectivity in stock assessments using state-space models|Nielsen, Anders; Berg, Casper W.||||FISHERIES RESEARCH|OCT 2014|2014|158||||SI|96|101||10.1016/j.fishres.2014.01.014|||59|9.83|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|8|17|16|13|4
Strategies for fitting nonlinear ecological models in R, AD Model Builder, and BUGS|Bolker, Benjamin M.; Gardner, Beth; Maunder, Mark; Berg, Casper W.; Brooks, Mollie; Comita, Liza; Crone, Elizabeth; Cubaynes, Sarah; Davies, Trevor; de Valpine, Perry; Ford, Jessica; Gimenez, Olivier; Kery, Marc; Kim, Eun Jung; Lennert-Cody, Cleridy; Magnusson, Arni; Martell, Steve; Nash, John; Nielsen, Anders; Regetz, Jim; Skaug, Hans; Zipkin, Elise||||METHODS IN ECOLOGY AND EVOLUTION|JUN 2013|2013|4|6||||501|512||10.1111/2041-210X.12044|||58|8.29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|13|9|16|13|2
Qualification of Standard Membrane-Feeding Assay with Plasmodium falciparum Malaria and Potential Improvements for Future Assays|Miura, Kazutoyo; Deng, Bingbing; Tullo, Gregory; Diouf, Ababacar; Moretz, Samuel E.; Locke, Emily; Morin, Merribeth; Fay, Michael P.; Long, Carole A.||||PLOS ONE|MAR 6 2013|2013|8|3||||||e57909|10.1371/journal.pone.0057909|||57|8.14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|6|8|12|13|13|2
Sexual selection protects against extinction|Lumley, Alyson J.; Michalczyk, Lukasz; Kitson, James J. N.; Spurgin, Lewis G.; Morrison, Catriona A.; Godwin, Joanne L.; Dickinson, Matthew E.; Martin, Oliver Y.; Emerson, Brent C.; Chapman, Tracey; Gage, Matthew J. G.||||NATURE|JUN 25 2015|2015|522|7557||||470|+||10.1038/nature14419|||53|10.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|13|16|18|3
