# For:  AD Model Builder: using automatic differentiation for statistical inference of highly parameterized complex nonlinear models ||||||||||||||||||||||||||
# Timespan=2012-2017. Indexes=SCI-EXPANDED| ESCI| A&HCI| SSCI| CPCI-SSH| CPCI-S.|||||||||||||||||||||
#||||||||||||||||||||||||||
Title|Authors|Corporate Authors|Editors|Book Editors|Source Title|Publication Date|Publication Year|Volume|Issue|Part Number|Supplement|Special Issue|Beginning Page|Ending Page|Article Number|DOI|Conference Title|Conference Date|Total Citations|Average per Year|2012|2013|2014|2015|2016|2017
Causes and Consequences of Tool Shape Variation in New Caledonian Crows|Sugasawa, Shoko; Klump, Barbara C.; St Clair, James J. H.; Rutz, Christian||||CURRENT BIOLOGY|DEC 18 2017|2017|27|24||||3885|+||10.1016/j.cub.2017.11.028|||1|0.5|0|0|0|0|0|1
Tree removal as a management strategy for the lady's slipper orchid, a flagship species for herb-rich forest conservation|Hurskainen, Sonja; Jakalaniemi, Anne; Ramula, Satu; Tuomi, Juha||||FOREST ECOLOGY AND MANAGEMENT|DEC 15 2017|2017|406|||||12|18||10.10164/j.foreco.2017.09.056|||0|0|0|0|0|0|0|0
Habitat modification by invasive crayfish can facilitate its growth through enhanced food accessibility|Nishijima, Shota; Nishikawa, Chisato; Miyashita, Tadashi||||BMC ECOLOGY|DEC 12 2017|2017|17|||||||37|10.1186/s12898-017-0147-7|||0|0|0|0|0|0|0|0
Variation in the benefits of multiple mating on female fertility in wild stalk-eyed flies|Meade, Lara; Harley, Elisabeth; Cotton, Alison; Howie, James M.; Pomiankowski, Andrew; Fowler, Kevin||||ECOLOGY AND EVOLUTION|DEC 2017|2017|7|23||||10103|10115||10.1002/ece3.3486|||0|0|0|0|0|0|0|0
A new method for loading predatory mites with entomopathogenic fungi for biological control of their prey|Lin, Gongyu; Tanguay, Alexandre; Guertin, Claude; Todorova, Silvia; Brodeur, Jacques||||BIOLOGICAL CONTROL|DEC 2017|2017|115|||||105|111||10.1016/j.biocontrol.2017.09.012|||0|0|0|0|0|0|0|0
Flowering banker plants for the delivery of multiple agroecosystem services|Balzan, Mario V.||||ARTHROPOD-PLANT INTERACTIONS|DEC 2017|2017|11|6||||743|754||10.1007/s11829-017-9544-2|||0|0|0|0|0|0|0|0
Improving fleet efficiency to maximise economic yield in a Western Australian prawn fishery|Hesp, Sybrand; Caputi, Nick; Penn, Jim; Kangas, Mervi; Sporer, Errol; Hogan, Brett; Clement, James||||MARINE POLICY|DEC 2017|2017|86|||||82|93||10.1016/j.marpol.2017.09.006|||0|0|0|0|0|0|0|0
What we don't seed: the role of long-lived seed banks as hidden legacies of invasive plants|Passos, Isabel; Marchante, Helia; Pinho, Rosa; Marchante, Elizabete||||PLANT ECOLOGY|DEC 2017|2017|218|11-12||||1313|1324||10.1007/s11258-017-0770-6|||0|0|0|0|0|0|0|0
Thermal stress exposure, bleaching response, and mortality in the threatened coral &ITAcropora palmata&IT|Williams, D. E.; Miller, M. W.; Bright, A. J.; Pausch, R. E.; Valdivia, A.||||MARINE POLLUTION BULLETIN|NOV 15 2017|2017|124|1||||189|197||10.1016/j.marpolbul.2017.07.001|||0|0|0|0|0|0|0|0
Multiple species of cuckoos are superior predictors of bird species richness in Asia|Moller, Anders Pape; Morelli, Federico; Benedetti, Yanina; Mousseau, Timothy; Su, Tongping; Zhou, Bo; Tryjanowski, Piotr; Liang, Wei||||ECOSPHERE|NOV 2017|2017|8|11||||||e02003|10.1002/ecs2.2003|||0|0|0|0|0|0|0|0
Ridge virtual population analysis to reduce the instability of fishing mortalities in the terminal year|Okamura, Hiroshi; Yamashita, Yuuho; Ichinokawa, Momoko||||ICES JOURNAL OF MARINE SCIENCE|NOV-DEC 2017|2017|74|9||||2427|2436||10.1093/icesjms/fsx089|||0|0|0|0|0|0|0|0
Do personality and innovativeness influence competitive ability? An experimental test in the great tit|O'Shea, William; Serrano-Davies, Eva; Quinn, John L.||||BEHAVIORAL ECOLOGY|NOV-DEC 2017|2017|28|6||||1435|1444||10.1093/beheco/arx104|||1|0.5|0|0|0|0|0|1
Dynamic Norms Promote Sustainable Behavior, Even if It Is Counternormative|Sparkman, Gregg; Walton, Gregory M.||||PSYCHOLOGICAL SCIENCE|NOV 2017|2017|28|11||||1663|1674||10.1177/0956797617719950|||0|0|0|0|0|0|0|0
Identifying effects of driving and secondary task demands, passenger presence, and driver characteristics on driving errors and traffic violations - Using naturalistic driving data segments preceding both safety critical events and matched baselines|Precht, Lisa; Keinath, Andreas; Krems, Josef F.||||TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR|NOV 2017|2017|51|||||103|144||10.1016/j.trf.2017.09.003|||0|0|0|0|0|0|0|0
Diversity and stability of egg-bacterial assemblages: The role of paternal care in the glassfrog Hyalinobatrachium colymbiphyllum|Hughey, Myra C.; Delia, Jesse; Belden, Lisa K.||||BIOTROPICA|NOV 2017|2017|49|6||||792|802||10.1111/btp.12461|||0|0|0|0|0|0|0|0
Space oddity: The mission for spatial integration|Berger, Aaron M.; Goethel, Daniel R.; Lynch, Patrick D.; Quinn, Terrance, II; Mormede, Sophie; McKenzie, Jeremy; Dunn, Alistair||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|NOV 2017|2017|74|11|||SI|1698|1716||10.1139/cjfas-2017-0150|Conference on Gutshop - New Perspectives on the Feeding Ecology and Trophic Dynamics of Freshwater and Marine Fishes held at the 145th Annual Meeting of the American-Fisheries-Society|AUG, 2015|1|0.5|0|0|0|0|0|1
Spatiotemporal variation in size-structured populations using fishery data: an application to shortfin mako (Isurus oxyrinchus) in the Pacific Ocean|Kai, Mikihiko; Thorson, James T.; Piner, Kevin R.; Maunder, Mark N.||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|NOV 2017|2017|74|11|||SI|1765|1780||10.1139/cjfas-2016-0327|Conference on Gutshop - New Perspectives on the Feeding Ecology and Trophic Dynamics of Freshwater and Marine Fishes held at the 145th Annual Meeting of the American-Fisheries-Society|AUG, 2015|1|0.5|0|0|0|0|0|1
The robustness of Brownie tag return models to complex spatiotemporal dynamics evaluated through simulation analysis|Lauretta, Matthew V.; Goethel, Daniel R.||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|NOV 2017|2017|74|11|||SI|1845|1861||10.1139/cjfas-2016-0291|Conference on Gutshop - New Perspectives on the Feeding Ecology and Trophic Dynamics of Freshwater and Marine Fishes held at the 145th Annual Meeting of the American-Fisheries-Society|AUG, 2015|1|0.5|0|0|0|0|0|1
Accounting for spatial complexities in the calculation of biological reference points: effects of misdiagnosing population structure for stock status indicators|Goethel, Daniel R.; Berger, Aaron M.||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|NOV 2017|2017|74|11|||SI|1878|1894||10.1139/cjfas-2016-0290|Conference on Gutshop - New Perspectives on the Feeding Ecology and Trophic Dynamics of Freshwater and Marine Fishes held at the 145th Annual Meeting of the American-Fisheries-Society|AUG, 2015|2|1|0|0|0|0|0|2
The quantitative use of parasite data in multistock modelling of South African sardine (Sardinops sagax)|de Moor, Carryn L.; Butterworth, Douglas S.; van der Lingen, Carl D.||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|NOV 2017|2017|74|11|||SI|1895|1903||10.1139/cjfas-2016-0280|Conference on Gutshop - New Perspectives on the Feeding Ecology and Trophic Dynamics of Freshwater and Marine Fishes held at the 145th Annual Meeting of the American-Fisheries-Society|AUG, 2015|1|0.5|0|0|0|0|0|1
Effects of unequal capture probability on stock assessment abundance and mortality estimates: an example using the US Atlantic sea scallop fishery|Truesdell, Samuel B.; Hart, Deborah R.; Chen, Yong||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|NOV 2017|2017|74|11|||SI|1904|1917||10.1139/cjfas-2016-0296|Conference on Gutshop - New Perspectives on the Feeding Ecology and Trophic Dynamics of Freshwater and Marine Fishes held at the 145th Annual Meeting of the American-Fisheries-Society|AUG, 2015|1|0.5|0|0|0|0|0|1
Simulation testing the robustness of a multiregion, tag-integrated assessment model that exhibits natal homing and estimates natural mortality and reporting rate|Vincent, Matthew T.; Brenden, Travis O.; Bence, James R.||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|NOV 2017|2017|74|11|||SI|1930|1949||10.1139/cjfas-2016-0297|Conference on Gutshop - New Perspectives on the Feeding Ecology and Trophic Dynamics of Freshwater and Marine Fishes held at the 145th Annual Meeting of the American-Fisheries-Society|AUG, 2015|1|0.5|0|0|0|0|0|1
Where do animals come from during post-fire population recovery? Implications for ecological and genetic patterns in post-fire landscapes|Banks, Sam C.; McBurney, Lachlan; Blair, David; Davies, Ian D.; Lindenmayer, David B.||||ECOGRAPHY|NOV 2017|2017|40|11||||1325|1338||10.1111/ecog.02251|||0|0|0|0|0|0|0|0
Increased consumer density reduces the strength of neighborhood effects in a model system|Merwin, Andrew C.; Underwood, Nora; Inouye, Brian D.||||ECOLOGY|NOV 2017|2017|98|11||||2904|2913||10.1002/ecy.200|||0|0|0|0|0|0|0|0
Nursery habitats and life history traits of the green tiger shrimp Penaeus semisulcatus (De Haan, 1844) in the Saudi waters of the Arabian Gulf|Rabaoui, Lotfi; Lin, Yu-Jia; Maneja, Rommel H.; Qurban, Mohammad A.; Abdurahiman, Pulikkodan; Premlal, Panickan; Al-Abdulkader, Khaled; Roa-Ureta, Ruben H.||||FISHERIES RESEARCH|NOV 2017|2017|195|||||1|11||10.1016/j.fishres.2017.06.013|||0|0|0|0|0|0|0|0
