JOURNAL,1990,1992,1994,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACTA OECOLOGICA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AFRICAN JOURNAL OF MARINE SCIENCE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AFRICAN ZOOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALASKA SEA GRANT COLLEGE PROGRAM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN FISHERIES SOCIETY SYMPOSIUM,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AMERICAN JOURNALL OF EPIDEMIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANIMAL BIODIVERSITY AND CONSERVATION,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AQUATIC BIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AQUATIC LIVING RESOURCES,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIAN AND NEW ZEALAND JOURNAL OF STATISTICS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AUSTRALIAN JOURNAL OF MARINE AND FRESHWATER RESEARCH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIODIVERS CONSERV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BIOLOGICAL CONSERVATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BULLETIN OF MARINE SCIENCE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,1,0,1,1,2,0,2,3,2,2,4,1,4,6,2,3,1,0,0
COMPUTATIONAL STATISTICS AND DATA ANALYSIS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COMPUTERS IN FISHERIES POPULATION DYNAMICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CONTINENTAL SHELF RESEARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DISEASES OF AQUATIC ORGANISMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ECOLOGICAL APPLICATIONS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ECOLOGICAL MODELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ECONOMETRICS JOURNAL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ELECTRONIC TAGGING AND TRACKING IN MARINE FISHERIES,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ENVIRONMENTAL BIOLOGY OF FISHES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FISH AND FISHERIES,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FISHERIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FISHERIES MANAGEMENT AND ECOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FISHERIES OCEANOGRAPHY,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
FISHERIES RESEARCH,0,0,0,0,0,0,0,0,2,1,2,5,1,2,4,0,0,3,9
FISHERIES STOCK ASSESSMENT MODELS ALASKA SEA GRANT COLLEGE PROGRAM,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FISHERY BULLETIN,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
